Оперативная память;Hynix;HYNT7AUDR-25M88;76243;DIMM 1024Mb DDR2 PC2 6400 Hynix;13;13,5;14;17;+;-;24;;;;11186;DIMM 1024Mb DDR2 PC2-6400 Hynix
Оперативная память;G.SKILL;F2-6400CL5S-1GBNY;82565;DIMM 1024Mb DDR2 PC2 6400   G. Skill;13;14;14,7;16;+;+;36;;;;11186;DIMM 1024Mb DDR2 PC2-6400  G. Skill
Оперативная память;Patriot;PSD21G8002 / PSD21G80081;43319;DIMM 1024Mb DDR2 PC2-6400 Patriot orig box  PSD21G80081;14,5;15;16;17;-;-;36;;;;11186;DIMM 1024Mb DDR2 PC2-6400 Patriot orig box
Оперативная память;Team;TEDD1024M800HC5;80667;DIMM 1024Mb DDR2 PC2 6400 Team Elite;12,2;13;14;16;-;-;36;;;;11186;DIMM 1024Mb DDR2 PC2-6400 Team Elite
Оперативная память;PNY;D1GBN08Q800J-SB;76542;DIMM 1024Mb DDR2 PC2 6400  PNY (box);10,5;11;12;16;-;-;24;;;;11186;DIMM 1024Mb DDR2 PC2-6400  PNY (box)
Оперативная память;Kingston;KVR800D2N6/1G;28803;DIMM 1024Mb DDR2 PC2-6400 800MHz Kingston;13,5;14;15;19;+;+;60;;;;11186;DIMM 1024Mb DDR2 PC2-6400 Kingston
Оперативная память;Hynix;;78307;DIMM 1024Mb DDR2 PC2-6400 800MHz HX/3rd;12,7;13;14;17;+;-;36;;;;11186;DIMM 1024Mb DDR2 PC2-6400 HX/3rd
Оперативная память;NCP;NCPT7AUDR-25M48;21500;DIMM 1024Mb DDR2 PC2-6400 NCP;12,7;13;14;16;+;+;24;;;;11186;DIMM 1024Mb DDR2 PC2-6400 NCP
Оперативная память;NCP;NCPT7AUDR-25M88;61139;DIMM 1024Mb DDR2 PC2-6400 NCP;12,4;13;14;16;-;-;24;;;;11186;DIMM 1024Mb DDR2 PC2-6400 NCP
Оперативная память;Samsung;M378T2863RZC-CF7;66494;DIMM 1024Mb DDR2 PC2-6400 Samsung;19;20;21;24;-;-;24;;;;11186;DIMM 1024Mb DDR2 PC2-6400 Samsung
Оперативная память;Silicon Power;SP001GBLRU800S02;63344;DIMM 1024Mb   DDR2 PC2-6400 800MHz Silicon Power;12,6;13;14,5;17;+;-;36;;;;11186;DIMM 1024Mb DDR2 PC2-6400 Silicon Power
Оперативная память;TwinMos;9DETBOZE-TATP;77851;DIMM 2048Mb   DDR2 PC2-6400 800MHz TwinMos Original   5-5-5-18 1,8V;23,7;24;25;28;-;-;36;;;;11186;DIMM 2048Mb DDR2 PC2-6400 TwinMos Original
Оперативная память;Exceleram;E20101A;70084;DIMM 2048Mb DDR2 PC2-6400 Exceleram 800Mhz, CL5-5-5-18, 1.8V;24,3;24,5;25;27;-;-;60;;;;11186;DIMM 2048Mb DDR2 PC2-6400 Exceleram
Оперативная память;Mustang;M42566486X6ND;76933;DIMM 2048Mb DDR2 PC2-6400  Mustang;20,6;21;23;25;-;-;24;;;;11186;DIMM 2048Mb DDR2 PC2-6400  Mustang
Оперативная память;Micron;RM25664AA800;76223;DIMM 2048Mb DDR2 PC2-6400  CL6  DIMM  bulk Micron (Rendition);24;24,5;25;30;-;-;24;;;;11186;DIMM 2048Mb DDR2 PC2-6400 Micron
Оперативная память;PNY;D2GBN08Q800J-SB;76543;DIMM 2048Mb DDR2 PC2-6400  PNY (box);20,6;21;23;25;-;-;24;;;;11186;DIMM 2048Mb DDR2 PC2-6400  PNY (box)
Оперативная память;G.SKILL;F2-6400CL5S-2GBNT;82566;DIMM 2048Mb DDR2 PC2-6400 G.Skill  (box);22,9;23;24;28;-;-;36;;;;11186;DIMM 2048Mb DDR2 PC2-6400  G.Skill (box)
Оперативная память;Hynix;HYMP125U64CP8-S6-C;30389;DIMM 2048Mb   DDR2 PC2-6400 800MHz Hynix orig;25,3;26;26,5;29;-;-;36;;;;11186;DIMM 2048Mb DDR2 PC2-6400 Hynix orig
Оперативная память;Hynix;HYMP125U64CP8-S6;73407;DIMM 2048Mb   DDR2 PC2-6400 800MHz Hynix orig;24,7;25;26,5;30;-;-;24;;;;11186;DIMM 2048Mb DDR2 PC2-6400 Hynix orig
Оперативная память;Hynix;HYNT8AUDR-25M88;76244;DIMM 2048Mb  DDR2 PC2-6400 800MHz Hynix;20,5;20,7;21;26;-;-;24;;;;11186;DIMM 2048Mb DDR2 PC2-6400 Hynix
Оперативная память;Patriot;PSD22G80026;75662;DIMM 2048Mb DDR2 PC2 6400 Patriot orig box;23,7;24;25;27;-;-;36;;;;11186;DIMM 2048Mb DDR2 PC2-6400 Patriot
Оперативная память;Transcend;JM800QLU-2G;27336;DIMM 2048Mb DDR2 PC2 6400 Transcend;24,5;25;25,5;28;-;-;36;;;;11186;DIMM 2048Mb DDR2 PC2-6400 Transcend
Оперативная память;Kingston;KVR800D2N6/2G;30495;DIMM 2048Mb DDR2 PC2-6400 800MHz Kingston;26,5;27;28;32;+;+;60;;;;11186;DIMM 2048Mb DDR2 PC2-6400 Kingston
Оперативная память;Kingston;KVR800D2N6/2G-SPBK;61302;DIMM 2048Mb DDR2 PC2-6400 800MHz Kingston, Bulk;24,3;25;26;29;-;-;60;;;;11186;DIMM 2048Mb DDR2 PC2-6400 Kingston
Оперативная память;Kingston;KHX8500D2T1K2/4G;37882;DIMM (2х2048Mb) DDR2 HyperX Tall PC2-8500 1066MHz CL5 (5-5-5-18) DIMM Kingston в радіаторах;72;73;74;80,6;-;-;60;;;;11186;DIMM 4096Mb DDR2 PC2-8500 Kingston
